#Set,index,k,QQ,x_b,t,phi_x,F,errF,F1,F2,ReH,ReE,ReHTilde,dvcs,Formalism
1.0,0.0,5.8,1.82,0.34,-0.17,4.0,0.16474470341879593,0.008070012973890255,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,1.0,5.8,1.82,0.34,-0.17,12.0,0.15799516643126407,0.00795433148556037,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,2.0,5.8,1.82,0.34,-0.17,20.0,0.15141642589770943,0.007732542548490357,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,3.0,5.8,1.82,0.34,-0.17,28.0,0.13087236934308924,0.00742205243503756,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,4.0,5.8,1.82,0.34,-0.17,36.0,0.14681872527839823,0.007045164468021749,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,5.0,5.8,1.82,0.34,-0.17,44.0,0.1295507943610456,0.0066257881234758126,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,6.0,5.8,1.82,0.34,-0.17,52.0,0.12158326654634642,0.00618656887385632,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,7.0,5.8,1.82,0.34,-0.17,60.0,0.11186035252920992,0.0057469082917949105,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,8.0,5.8,1.82,0.34,-0.17,68.0,0.10813740996899786,0.00532198303902395,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,9.0,5.8,1.82,0.34,-0.17,76.0,0.10215651391777412,0.004922605864922883,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,10.0,5.8,1.82,0.34,-0.17,84.0,0.09691344991270932,0.004555652477270039,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,11.0,5.8,1.82,0.34,-0.17,92.0,0.08002425119287604,0.004224778289765782,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,12.0,5.8,1.82,0.34,-0.17,100.0,0.08107231411153043,0.003931212974792786,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,13.0,5.8,1.82,0.34,-0.17,108.0,0.0727134620146796,0.0036745003903546833,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,14.0,5.8,1.82,0.34,-0.17,116.0,0.06961232229848002,0.0034531193327844117,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,15.0,5.8,1.82,0.34,-0.17,124.0,0.06800030261434677,0.00326496731885767,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,16.0,5.8,1.82,0.34,-0.17,132.0,0.060522883036744905,0.003107716418921515,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,17.0,5.8,1.82,0.34,-0.17,140.0,0.05975666956117756,0.0029790623074092758,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,18.0,5.8,1.82,0.34,-0.17,148.0,0.06105227536892843,0.002876890713513922,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,19.0,5.8,1.82,0.34,-0.17,156.0,0.05312569281620912,0.0027993836408011855,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1.0,20.0,5.8,1.82,0.34,-0.17,164.0,0.056218028493714614,0.0027450838804541095,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
