,Formalism,#Set,index,k,QQ,t,phi_x,F1,F2,ReH_true,ReE_true,ReHTilde_true,c0_true,F,sigmaF
0,BKM10,1.0,0.0,5.8,1.82,-0.17,4.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.1627119410025986,0.008070012973890255
1,BKM10,1.0,1.0,5.8,1.82,-0.17,12.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.15886506244850315,0.00795433148556037
2,BKM10,1.0,2.0,5.8,1.82,-0.17,20.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.15492470492638108,0.007732542548490357
3,BKM10,1.0,3.0,5.8,1.82,-0.17,28.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.1557793497376969,0.00742205243503756
4,BKM10,1.0,4.0,5.8,1.82,-0.17,36.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.1293547962339719,0.007045164468021749
5,BKM10,1.0,5.0,5.8,1.82,-0.17,44.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.1302702971404939,0.0066257881234758126
6,BKM10,1.0,6.0,5.8,1.82,-0.17,52.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.13459058771158033,0.00618656887385632
7,BKM10,1.0,7.0,5.8,1.82,-0.17,60.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.11253104404061302,0.0057469082917949105
8,BKM10,1.0,8.0,5.8,1.82,-0.17,68.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.11168709895604352,0.00532198303902395
9,BKM10,1.0,9.0,5.8,1.82,-0.17,76.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.10134308546179328,0.004922605864922883
10,BKM10,1.0,10.0,5.8,1.82,-0.17,84.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.08854824654959108,0.004555652477270039
11,BKM10,1.0,11.0,5.8,1.82,-0.17,92.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.08046479417273673,0.004224778289765782
12,BKM10,1.0,12.0,5.8,1.82,-0.17,100.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.07848591531999849,0.003931212974792786
13,BKM10,1.0,13.0,5.8,1.82,-0.17,108.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.07207772046769599,0.0036745003903546833
14,BKM10,1.0,14.0,5.8,1.82,-0.17,116.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.07051443398890683,0.0034531193327844117
