,Formalism,#Set,index,k,QQ,t,phi_x,F1,F2,ReH_true,ReE_true,ReHTilde_true,c0_true,F,sigmaF
0,BKM02,1.0,0.0,5.8,1.82,-0.17,4.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.1748882779348433,0.008348036310258794
1,BKM02,1.0,1.0,5.8,1.82,-0.17,12.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.16725224437855638,0.00822232660069657
2,BKM02,1.0,2.0,5.8,1.82,-0.17,20.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.15471065449946503,0.007981338299628883
3,BKM02,1.0,3.0,5.8,1.82,-0.17,28.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.12587486840103274,0.007644031824807729
4,BKM02,1.0,4.0,5.8,1.82,-0.17,36.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.1410679008819981,0.007234692835391643
5,BKM02,1.0,5.0,5.8,1.82,-0.17,44.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.14202544285348392,0.006779341525793555
6,BKM02,1.0,6.0,5.8,1.82,-0.17,52.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.12599961451543412,0.006302603568172172
7,BKM02,1.0,7.0,5.8,1.82,-0.17,60.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.11423985862498197,0.005825555049377497
8,BKM02,1.0,8.0,5.8,1.82,-0.17,68.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.11249211922610569,0.005364659011592778
9,BKM02,1.0,9.0,5.8,1.82,-0.17,76.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.0908353880289365,0.0049316210579220645
10,BKM02,1.0,10.0,5.8,1.82,-0.17,84.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.09304384224547285,0.004533861444711371
11,BKM02,1.0,11.0,5.8,1.82,-0.17,92.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.08418060592026637,0.004175301668672411
12,BKM02,1.0,12.0,5.8,1.82,-0.17,100.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.07700516164228015,0.003857233824459059
13,BKM02,1.0,13.0,5.8,1.82,-0.17,108.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.07365716940152457,0.00357912833427574
14,BKM02,1.0,14.0,5.8,1.82,-0.17,116.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.07364942471289994,0.0033393099859369163
15,BKM02,1.0,15.0,5.8,1.82,-0.17,124.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.06414677773558428,0.00313548333928076
16,BKM02,1.0,16.0,5.8,1.82,-0.17,132.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.05651674828395917,0.00296511782168079
17,BKM02,1.0,17.0,5.8,1.82,-0.17,140.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.055138354217560005,0.002825716020576978
